product_type;mission;level;origin_level;instrument;mode;type;groups;published_by;consumed_by
GIP_R2DEPI;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2DEFI;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2WAFI;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2L2NC;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2DENT;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2DECT;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2NOMO;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2ABCA;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2BINN;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2CRCO;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_G2PARA;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_G2PARE;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_EARMOD;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_GEOPAR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_INTDET;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_TILPAR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_RESPAR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_MASPAR;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_JP2KPA;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_ECMWFP;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_DECOMP;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_OLQCPA;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_PROBAS;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_CONVER;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_R2EOB2;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_L2ACAC;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_L2ACSC;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
GIP_PROBA2;S2;AUX;AUX;;;;AUX;AUXIP|PRIP|LTA|DA|_;AUXIP|PRIP|LTA|DA
MPL_ORBPRE;S2;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
MPL_ORBRES;S2;AUX;AUX;;;;AUX;AUXIP|_|_|_|_;AUXIP|_|_|_
MPL_TLEPRE;S2;AUX;AUX;;;;AUX;_|_|_|_|_;_|_|_|_
OLQC_REPORT;S2;Quality;Quality;;;;OLQC;_|PRIP|_|_|_;_|_|_|_
DO_0_DOP___;S3;L0_;L0_;DORIS;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
DO_0_NAV___;S3;L0_;L0_;DORIS;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
GN_0_GNS___;S3;L0_;L0_;GNSS;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
MW_0_MWR___;S3;L0_;L0_;MWR;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
MW_1_CAL___;S3;L1_;L1_;MWR;;;PRODUCT;_|PRIP|LTA|DA|_;_|_|LTA|DA
MW_1_MWR___;S3;L1_;L1_;MWR;;;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
OL_0_CR0___;S3;L0_;L0_;OLCI;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
OL_0_CR1___;S3;L0_;L0_;OLCI;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
OL_0_EFR___;S3;L0_;L0_;OLCI;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
OL_1_EFR___;S3;L1_;L1_;OLCI;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
OL_1_ERR___;S3;L1_;L1_;OLCI;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
OL_1_RAC___;S3;L1_;L1_;OLCI;;;PRODUCT;_|PRIP|LTA|DA|_;_|_|LTA|DA
OL_1_SPC___;S3;L1_;L1_;OLCI;;;PRODUCT;_|PRIP|LTA|DA|_;_|_|LTA|DA
OL_2_LFR___;S3;L2_;L2_;OLCI;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
OL_2_LRR___;S3;L2_;L2_;OLCI;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SL_0_SLT___;S3;L0_;L0_;SLSTR;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
SL_1_RBT___;S3;L1_;L1_;SLSTR;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SL_2_LST___;S3;L2_;L2_;SLSTR;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SL_2_FRP___;S3;L2_;L2_;SLSTR;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SR_0_SRA___;S3;L0_;L0_;SRAL;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
SR_0_CAL___;S3;L0_;L0_;SRAL;;;PRODUCT|L0;_|PRIP|LTA|DA|_;_|_|LTA|DA
SR_1_CAL___;S3;L1_;L1_;SRAL;;;PRODUCT;_|PRIP|LTA|DA|_;_|_|LTA|DA
SR_1_SRA___;S3;L1_;L1_;SRAL;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SR_1_SRA_A_;S3;L1_;L1_;SRAL;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SR_1_SRA_BS;S3;L1_;L1_;SRAL;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
SR_1_LAN_RD;S3;L2_;L2_;SRAL;;;PRODUCT;_|PRIP|_|_|_;_|_|_|_
SR_2_LAN_SI;S3;L2_;L2_;SRAL;;;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
SR_2_LAN_HY;S3;L2_;L2_;SRAL;;;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
SR_2_LAN_LI;S3;L2_;L2_;SRAL;;;PRODUCT;_|PRIP|_|DA|_;_|_|_|DA
SR_2_LAN___;S3;L2_;L2_;SRAL;;;PRODUCT;_|PRIP|_|DA|DHUS;_|_|_|DA
